ts,container,cpu_pct,mem_mb
1777195984,cosmos-testnet-node6,11.0,251.4
1777195984,cosmos-testnet-node2,10.5,240.5
1777195984,cosmos-testnet-node0,16.1,256.7
1777195984,cosmos-testnet-node1,10.76,250.1
1777195984,cosmos-testnet-node5,10.6,267.7
1777195984,cosmos-testnet-node3,10.86,243.2
1777195989,cosmos-testnet-node4,10.79,254.6
1777195989,cosmos-testnet-node6,14.02,255.4
1777195989,cosmos-testnet-node2,10.31,242.6
1777195989,cosmos-testnet-node0,19.84,243.9
1777195989,cosmos-testnet-node1,10.46,252.8
1777195989,cosmos-testnet-node5,10.85,258.8
1777195989,cosmos-testnet-node3,10.28,247.4
1777195994,cosmos-testnet-node4,13.67,256.6
1777195994,cosmos-testnet-node6,10.44,260.5
1777195994,cosmos-testnet-node2,10.81,249.3
1777195994,cosmos-testnet-node0,16.01,260.3
1777195994,cosmos-testnet-node1,10.48,256.6
1777195994,cosmos-testnet-node5,14.39,267.8
1777195994,cosmos-testnet-node3,10.66,246.4
1777195999,cosmos-testnet-node4,10.46,258.0
1777195999,cosmos-testnet-node6,10.55,258.7
1777195999,cosmos-testnet-node2,10.69,252.4
1777195999,cosmos-testnet-node0,15.98,261.7
1777195999,cosmos-testnet-node1,10.69,256.9
1777195999,cosmos-testnet-node5,10.6,266.7
1777195999,cosmos-testnet-node3,11.0,250.6
1777196004,cosmos-testnet-node4,10.61,247.4
1777196004,cosmos-testnet-node6,10.76,261.2
1777196004,cosmos-testnet-node2,14.62,246.3
1777196004,cosmos-testnet-node0,19.87,271.8
1777196004,cosmos-testnet-node1,11.12,265.5
1777196004,cosmos-testnet-node5,10.96,264.4
1777196004,cosmos-testnet-node3,11.09,247.2
1777196009,cosmos-testnet-node4,10.07,249.9
1777196009,cosmos-testnet-node6,10.09,263.3
1777196009,cosmos-testnet-node2,9.99,251.8
1777196009,cosmos-testnet-node0,16.27,270.6
1777196009,cosmos-testnet-node1,10.24,262.1
1777196009,cosmos-testnet-node5,10.35,275.7
1777196009,cosmos-testnet-node3,13.37,252.9
1777196014,cosmos-testnet-node4,14.32,256.0
1777196014,cosmos-testnet-node6,10.01,276.3
1777196014,cosmos-testnet-node2,10.48,249.5
1777196014,cosmos-testnet-node0,15.79,278.5
1777196014,cosmos-testnet-node1,10.47,268.7
1777196014,cosmos-testnet-node5,10.48,277.7
1777196014,cosmos-testnet-node3,9.76,254.8
1777196019,cosmos-testnet-node4,10.53,268.3
1777196019,cosmos-testnet-node6,10.58,271.8
1777196019,cosmos-testnet-node2,14.26,255.4
1777196019,cosmos-testnet-node0,16.27,286.1
1777196019,cosmos-testnet-node1,10.31,267.7
1777196019,cosmos-testnet-node5,10.82,286.7
1777196019,cosmos-testnet-node3,10.46,266.3
1777196024,cosmos-testnet-node4,11.07,272.3
1777196024,cosmos-testnet-node6,11.14,275.7
1777196024,cosmos-testnet-node2,10.99,267.6
1777196024,cosmos-testnet-node0,16.21,284.0
1777196024,cosmos-testnet-node1,10.74,278.9
1777196024,cosmos-testnet-node5,10.77,284.3
1777196024,cosmos-testnet-node3,11.21,267.6
1777196029,cosmos-testnet-node4,10.77,275.4
1777196029,cosmos-testnet-node6,10.87,268.9
1777196029,cosmos-testnet-node2,14.28,272.2
1777196029,cosmos-testnet-node0,19.92,271.8
1777196029,cosmos-testnet-node1,26.6,267.6
1777196029,cosmos-testnet-node5,10.42,277.8
1777196029,cosmos-testnet-node3,10.61,264.8
1777196034,cosmos-testnet-node4,10.73,273.5
1777196034,cosmos-testnet-node6,10.72,269.9
1777196034,cosmos-testnet-node2,10.53,276.7
1777196034,cosmos-testnet-node0,16.03,276.6
1777196034,cosmos-testnet-node1,10.62,268.9
1777196034,cosmos-testnet-node5,14.26,279.7
1777196034,cosmos-testnet-node3,10.9,265.0
1777196039,cosmos-testnet-node4,10.13,276.7
1777196039,cosmos-testnet-node6,10.34,272.9
1777196039,cosmos-testnet-node2,10.11,277.0
1777196039,cosmos-testnet-node0,17.0,277.4
1777196039,cosmos-testnet-node1,10.23,274.8
1777196039,cosmos-testnet-node5,10.0,285.0
1777196039,cosmos-testnet-node3,10.09,271.8
1777196044,cosmos-testnet-node4,16.93,284.7
1777196044,cosmos-testnet-node6,21.62,286.2
1777196044,cosmos-testnet-node2,22.16,277.7
1777196044,cosmos-testnet-node0,27.54,271.6
1777196044,cosmos-testnet-node1,19.06,277.1
1777196044,cosmos-testnet-node5,17.9,291.3
1777196044,cosmos-testnet-node3,16.33,274.6
1777196049,cosmos-testnet-node4,29.62,283.6
1777196049,cosmos-testnet-node6,29.51,287.0
1777196049,cosmos-testnet-node2,31.81,278.0
1777196049,cosmos-testnet-node0,38.46,295.3
1777196049,cosmos-testnet-node1,33.08,285.7
1777196049,cosmos-testnet-node5,31.3,294.1
1777196049,cosmos-testnet-node3,30.63,275.1
1777196054,cosmos-testnet-node4,27.77,288.4
1777196054,cosmos-testnet-node6,24.9,289.3
1777196054,cosmos-testnet-node2,26.44,278.4
1777196054,cosmos-testnet-node0,19.29,292.1
1777196054,cosmos-testnet-node1,26.0,284.6
1777196054,cosmos-testnet-node5,25.68,295.5
1777196054,cosmos-testnet-node3,26.29,276.0
1777196059,cosmos-testnet-node4,21.91,291.1
1777196059,cosmos-testnet-node6,16.84,289.8
1777196059,cosmos-testnet-node2,10.77,278.4
1777196059,cosmos-testnet-node0,23.4,293.3
1777196059,cosmos-testnet-node1,18.35,283.5
1777196059,cosmos-testnet-node5,20.71,295.5
1777196059,cosmos-testnet-node3,18.9,276.2
1777196064,cosmos-testnet-node4,10.82,285.8
1777196064,cosmos-testnet-node6,11.09,287.1
1777196064,cosmos-testnet-node2,10.73,281.4
1777196064,cosmos-testnet-node0,16.63,299.2
1777196064,cosmos-testnet-node1,10.45,285.3
1777196064,cosmos-testnet-node5,11.25,295.6
1777196064,cosmos-testnet-node3,10.6,278.2
1777196069,cosmos-testnet-node4,11.29,290.5
1777196069,cosmos-testnet-node6,10.55,291.7
1777196069,cosmos-testnet-node2,10.21,279.6
1777196069,cosmos-testnet-node0,16.46,293.2
1777196069,cosmos-testnet-node1,11.41,286.3
1777196069,cosmos-testnet-node5,10.93,295.8
1777196069,cosmos-testnet-node3,11.04,280.4
1777196074,cosmos-testnet-node4,9.57,303.6
1777196074,cosmos-testnet-node6,10.45,301.7
1777196074,cosmos-testnet-node2,10.73,292.9
1777196074,cosmos-testnet-node0,16.5,314.4
1777196074,cosmos-testnet-node1,9.73,296.9
1777196074,cosmos-testnet-node5,13.74,305.5
1777196074,cosmos-testnet-node3,10.23,286.5
1777196079,cosmos-testnet-node4,10.6,310.9
1777196079,cosmos-testnet-node6,10.45,303.8
1777196079,cosmos-testnet-node2,10.74,296.4
1777196079,cosmos-testnet-node0,15.91,303.6
1777196079,cosmos-testnet-node1,10.81,297.1
1777196079,cosmos-testnet-node5,10.03,305.8
1777196079,cosmos-testnet-node3,10.84,292.3
1777196084,cosmos-testnet-node4,10.81,311.1
1777196084,cosmos-testnet-node6,10.45,310.4
1777196084,cosmos-testnet-node2,10.79,299.0
1777196084,cosmos-testnet-node0,16.42,306.8
1777196084,cosmos-testnet-node1,14.33,298.4
1777196084,cosmos-testnet-node5,10.66,307.0
1777196084,cosmos-testnet-node3,10.61,293.8
1777196089,cosmos-testnet-node4,11.02,310.3
1777196089,cosmos-testnet-node6,11.06,308.5
1777196089,cosmos-testnet-node2,10.28,302.6
1777196089,cosmos-testnet-node0,16.45,310.4
1777196089,cosmos-testnet-node1,10.51,298.5
1777196089,cosmos-testnet-node5,11.18,308.8
1777196089,cosmos-testnet-node3,10.22,286.1
1777196094,cosmos-testnet-node4,10.79,313.5
1777196094,cosmos-testnet-node6,11.0,309.6
1777196094,cosmos-testnet-node2,10.32,302.5
1777196094,cosmos-testnet-node0,16.48,299.8
1777196094,cosmos-testnet-node1,11.07,301.4
1777196094,cosmos-testnet-node5,10.42,310.6
1777196094,cosmos-testnet-node3,11.2,290.1
1777196099,cosmos-testnet-node4,10.57,318.2
1777196099,cosmos-testnet-node6,10.59,314.7
1777196099,cosmos-testnet-node2,10.33,307.0
1777196099,cosmos-testnet-node0,16.18,310.2
1777196099,cosmos-testnet-node1,10.94,301.4
1777196099,cosmos-testnet-node5,10.97,319.0
1777196099,cosmos-testnet-node3,10.52,295.6
1777196104,cosmos-testnet-node4,14.31,318.5
1777196104,cosmos-testnet-node6,10.51,320.0
1777196104,cosmos-testnet-node2,13.47,311.5
1777196104,cosmos-testnet-node0,16.24,313.1
1777196104,cosmos-testnet-node1,9.88,306.2
1777196104,cosmos-testnet-node5,10.64,324.7
1777196104,cosmos-testnet-node3,10.1,299.3
1777196109,cosmos-testnet-node4,10.48,322.3
1777196109,cosmos-testnet-node6,10.15,320.4
1777196109,cosmos-testnet-node2,14.13,311.4
1777196109,cosmos-testnet-node0,21.67,313.9
1777196109,cosmos-testnet-node1,14.43,304.2
1777196109,cosmos-testnet-node5,13.71,315.2
1777196109,cosmos-testnet-node3,10.83,301.7
1777196114,cosmos-testnet-node4,10.49,322.6
1777196114,cosmos-testnet-node6,10.75,321.4
1777196114,cosmos-testnet-node2,10.49,310.2
1777196114,cosmos-testnet-node0,16.51,323.6
1777196114,cosmos-testnet-node1,10.07,308.7
1777196114,cosmos-testnet-node5,10.23,316.6
1777196114,cosmos-testnet-node3,10.19,301.7
1777196119,cosmos-testnet-node4,10.96,322.9
1777196119,cosmos-testnet-node6,10.66,312.9
1777196119,cosmos-testnet-node2,10.66,310.8
1777196119,cosmos-testnet-node0,16.01,324.1
1777196119,cosmos-testnet-node1,10.78,309.5
1777196119,cosmos-testnet-node5,11.15,317.5
1777196119,cosmos-testnet-node3,14.26,296.5
1777196124,cosmos-testnet-node4,42.78,323.5
1777196124,cosmos-testnet-node6,37.29,321.2
1777196124,cosmos-testnet-node2,38.16,321.5
1777196124,cosmos-testnet-node0,43.74,328.7
1777196124,cosmos-testnet-node1,36.82,327.9
1777196124,cosmos-testnet-node5,43.4,328.5
1777196124,cosmos-testnet-node3,37.99,302.0
1777196129,cosmos-testnet-node4,27.01,319.8
1777196129,cosmos-testnet-node6,14.21,321.3
1777196129,cosmos-testnet-node2,26.05,315.1
1777196129,cosmos-testnet-node0,16.09,328.7
1777196129,cosmos-testnet-node1,24.33,327.8
1777196129,cosmos-testnet-node5,24.2,331.2
1777196129,cosmos-testnet-node3,25.34,302.6
