ts,container,cpu_pct,mem_mb
1777195612,cosmos-testnet-node5,11.32,153.3
1777195612,cosmos-testnet-node3,11.6,162.3
1777195612,cosmos-testnet-node6,11.07,150.4
1777195612,cosmos-testnet-node0,13.51,163.6
1777195612,cosmos-testnet-node2,10.98,144.5
1777195612,cosmos-testnet-node4,11.28,161.4
1777195617,cosmos-testnet-node1,10.47,151.1
1777195617,cosmos-testnet-node5,11.05,153.7
1777195617,cosmos-testnet-node3,10.49,162.9
1777195617,cosmos-testnet-node6,10.67,152.8
1777195617,cosmos-testnet-node0,13.62,163.8
1777195617,cosmos-testnet-node2,10.84,145.9
1777195617,cosmos-testnet-node4,10.87,162.6
1777195622,cosmos-testnet-node1,13.84,152.1
1777195622,cosmos-testnet-node5,26.48,153.9
1777195622,cosmos-testnet-node3,16.41,163.4
1777195622,cosmos-testnet-node6,17.11,151.5
1777195622,cosmos-testnet-node0,19.49,164.4
1777195622,cosmos-testnet-node2,13.41,149.9
1777195622,cosmos-testnet-node4,13.75,163.1
1777195627,cosmos-testnet-node1,33.05,153.4
1777195627,cosmos-testnet-node5,33.68,154.8
1777195627,cosmos-testnet-node3,37.57,165.4
1777195627,cosmos-testnet-node6,37.94,151.8
1777195627,cosmos-testnet-node0,40.94,166.8
1777195627,cosmos-testnet-node2,33.8,152.4
1777195627,cosmos-testnet-node4,39.26,164.0
1777195632,cosmos-testnet-node1,29.6,155.3
1777195632,cosmos-testnet-node5,29.99,156.5
1777195632,cosmos-testnet-node3,29.42,167.0
1777195632,cosmos-testnet-node6,30.06,154.1
1777195632,cosmos-testnet-node0,31.5,171.5
1777195632,cosmos-testnet-node2,31.87,156.5
1777195632,cosmos-testnet-node4,29.28,168.1
1777195637,cosmos-testnet-node1,37.56,155.9
1777195637,cosmos-testnet-node5,38.66,157.4
1777195637,cosmos-testnet-node3,37.32,167.5
1777195637,cosmos-testnet-node6,33.81,157.0
1777195637,cosmos-testnet-node0,41.21,171.7
1777195637,cosmos-testnet-node2,38.57,157.0
1777195637,cosmos-testnet-node4,36.73,168.3
1777195642,cosmos-testnet-node1,28.39,157.0
1777195642,cosmos-testnet-node5,27.41,158.8
1777195642,cosmos-testnet-node3,28.42,165.3
1777195642,cosmos-testnet-node6,27.04,158.6
1777195642,cosmos-testnet-node0,30.67,173.8
1777195642,cosmos-testnet-node2,28.16,157.6
1777195642,cosmos-testnet-node4,27.74,171.2
1777195647,cosmos-testnet-node1,21.66,157.2
1777195647,cosmos-testnet-node5,23.9,159.0
1777195647,cosmos-testnet-node3,16.83,165.3
1777195647,cosmos-testnet-node6,10.74,158.6
1777195647,cosmos-testnet-node0,21.53,170.7
1777195647,cosmos-testnet-node2,17.21,158.0
1777195647,cosmos-testnet-node4,23.93,170.6
1777195652,cosmos-testnet-node1,14.76,160.7
1777195652,cosmos-testnet-node5,11.42,161.6
1777195652,cosmos-testnet-node3,10.89,167.2
1777195652,cosmos-testnet-node6,10.68,159.3
1777195652,cosmos-testnet-node0,13.02,174.6
1777195652,cosmos-testnet-node2,14.11,160.6
1777195652,cosmos-testnet-node4,11.12,170.9
1777195657,cosmos-testnet-node1,10.7,160.9
1777195657,cosmos-testnet-node5,10.39,161.9
1777195657,cosmos-testnet-node3,10.98,171.9
1777195657,cosmos-testnet-node6,13.64,161.7
1777195657,cosmos-testnet-node0,12.87,174.2
1777195657,cosmos-testnet-node2,10.93,158.9
1777195657,cosmos-testnet-node4,11.32,170.2
1777195662,cosmos-testnet-node1,11.48,163.2
1777195662,cosmos-testnet-node5,11.46,162.7
1777195662,cosmos-testnet-node3,11.17,172.6
1777195662,cosmos-testnet-node6,11.28,163.3
1777195662,cosmos-testnet-node0,13.46,175.9
1777195662,cosmos-testnet-node2,11.43,160.1
1777195662,cosmos-testnet-node4,11.84,171.2
1777195667,cosmos-testnet-node1,11.2,163.4
1777195667,cosmos-testnet-node5,11.12,163.4
1777195667,cosmos-testnet-node3,11.47,172.7
1777195667,cosmos-testnet-node6,11.46,163.5
1777195667,cosmos-testnet-node0,13.58,176.8
1777195667,cosmos-testnet-node2,10.93,160.3
1777195667,cosmos-testnet-node4,11.46,171.6
1777195672,cosmos-testnet-node1,11.78,163.7
1777195672,cosmos-testnet-node5,11.7,169.1
1777195672,cosmos-testnet-node3,12.23,174.7
1777195672,cosmos-testnet-node6,11.68,164.6
1777195672,cosmos-testnet-node0,16.78,172.6
1777195672,cosmos-testnet-node2,11.77,162.2
1777195672,cosmos-testnet-node4,15.43,178.2
1777195677,cosmos-testnet-node1,11.43,163.7
1777195677,cosmos-testnet-node5,11.26,167.6
1777195677,cosmos-testnet-node3,11.61,175.0
1777195677,cosmos-testnet-node6,11.69,165.2
1777195677,cosmos-testnet-node0,15.51,174.5
1777195677,cosmos-testnet-node2,11.34,162.8
1777195677,cosmos-testnet-node4,11.78,178.6
1777195682,cosmos-testnet-node1,10.75,174.7
1777195682,cosmos-testnet-node5,10.65,169.0
1777195682,cosmos-testnet-node3,10.8,175.2
1777195682,cosmos-testnet-node6,11.2,171.8
1777195682,cosmos-testnet-node0,14.77,173.4
1777195682,cosmos-testnet-node2,10.66,162.9
1777195682,cosmos-testnet-node4,10.96,181.8
1777195687,cosmos-testnet-node1,10.84,175.0
1777195687,cosmos-testnet-node5,11.01,169.3
1777195687,cosmos-testnet-node3,11.7,175.5
1777195687,cosmos-testnet-node6,11.2,172.3
1777195687,cosmos-testnet-node0,14.73,178.1
1777195687,cosmos-testnet-node2,11.37,164.3
1777195687,cosmos-testnet-node4,11.13,182.2
1777195692,cosmos-testnet-node1,11.4,175.2
1777195692,cosmos-testnet-node5,11.55,170.8
1777195692,cosmos-testnet-node3,11.42,176.3
1777195692,cosmos-testnet-node6,11.52,172.8
1777195692,cosmos-testnet-node0,15.4,179.0
1777195692,cosmos-testnet-node2,11.61,164.8
1777195692,cosmos-testnet-node4,11.17,183.4
1777195697,cosmos-testnet-node1,11.14,175.6
1777195697,cosmos-testnet-node5,11.1,175.2
1777195697,cosmos-testnet-node3,14.63,177.3
1777195697,cosmos-testnet-node6,11.17,173.3
1777195697,cosmos-testnet-node0,14.67,180.3
1777195697,cosmos-testnet-node2,11.23,166.3
1777195697,cosmos-testnet-node4,11.42,184.9
1777195702,cosmos-testnet-node1,11.33,178.9
1777195702,cosmos-testnet-node5,14.07,175.4
1777195702,cosmos-testnet-node3,11.29,177.7
1777195702,cosmos-testnet-node6,11.48,175.5
1777195702,cosmos-testnet-node0,15.32,181.9
1777195702,cosmos-testnet-node2,11.7,167.7
1777195702,cosmos-testnet-node4,11.59,189.1
1777195707,cosmos-testnet-node1,11.43,178.9
1777195707,cosmos-testnet-node5,11.55,175.4
1777195707,cosmos-testnet-node3,11.84,179.7
1777195707,cosmos-testnet-node6,11.83,177.9
1777195707,cosmos-testnet-node0,15.71,186.2
1777195707,cosmos-testnet-node2,11.76,169.7
1777195707,cosmos-testnet-node4,12.04,189.5
1777195712,cosmos-testnet-node1,10.88,181.8
1777195712,cosmos-testnet-node5,10.66,178.1
1777195712,cosmos-testnet-node3,10.71,179.9
1777195712,cosmos-testnet-node6,10.92,178.1
1777195712,cosmos-testnet-node0,15.09,186.9
1777195712,cosmos-testnet-node2,10.98,166.2
1777195712,cosmos-testnet-node4,10.69,189.6
1777195717,cosmos-testnet-node1,11.49,182.5
1777195717,cosmos-testnet-node5,11.24,178.3
1777195717,cosmos-testnet-node3,11.32,180.0
1777195717,cosmos-testnet-node6,11.14,178.1
1777195717,cosmos-testnet-node0,15.46,187.9
1777195717,cosmos-testnet-node2,11.09,167.1
1777195717,cosmos-testnet-node4,11.06,187.7
1777195722,cosmos-testnet-node1,11.23,180.8
1777195722,cosmos-testnet-node5,11.35,178.5
1777195722,cosmos-testnet-node3,11.09,180.1
1777195722,cosmos-testnet-node6,14.68,177.1
1777195722,cosmos-testnet-node0,14.98,186.0
1777195722,cosmos-testnet-node2,11.64,168.6
1777195722,cosmos-testnet-node4,11.37,188.2
1777195727,cosmos-testnet-node1,11.69,182.0
1777195727,cosmos-testnet-node5,11.67,178.7
1777195727,cosmos-testnet-node3,30.73,181.2
1777195727,cosmos-testnet-node6,11.37,177.1
1777195727,cosmos-testnet-node0,15.47,186.2
1777195727,cosmos-testnet-node2,11.21,168.7
1777195727,cosmos-testnet-node4,11.31,188.8
1777195732,cosmos-testnet-node1,28.72,182.8
1777195732,cosmos-testnet-node5,28.81,180.9
1777195732,cosmos-testnet-node3,29.91,181.3
1777195732,cosmos-testnet-node6,28.59,177.2
1777195732,cosmos-testnet-node0,35.74,187.5
1777195732,cosmos-testnet-node2,30.57,168.9
1777195732,cosmos-testnet-node4,33.46,189.8
1777195737,cosmos-testnet-node1,21.98,185.7
1777195737,cosmos-testnet-node5,20.73,181.5
1777195737,cosmos-testnet-node3,24.48,181.7
1777195737,cosmos-testnet-node6,25.98,177.3
1777195737,cosmos-testnet-node0,28.24,188.3
1777195737,cosmos-testnet-node2,15.71,169.4
1777195737,cosmos-testnet-node4,23.31,191.2
1777195742,cosmos-testnet-node1,50.27,185.9
1777195742,cosmos-testnet-node5,49.78,181.6
1777195742,cosmos-testnet-node3,50.42,187.5
1777195742,cosmos-testnet-node6,48.72,177.9
1777195742,cosmos-testnet-node0,50.93,189.5
1777195742,cosmos-testnet-node2,51.57,169.3
