rate,repeat,seq,status,window_id,submit_ts,commit_ts,credit_ts,ack_ts,commit_latency_s,forward_latency_s,roundtrip_latency_s
1.0,0,0,acked,0,1787674163.0288205,1787674176.375422,1787674189.498059,1787674635.3254514,13.346601486206055,26.46923851966858,472.296630859375
1.0,0,1,acked,0,1787674166.3376443,1787674176.5241835,1787674200.6836836,1787674640.8619473,10.18653917312622,34.34603929519653,474.52430295944214
1.0,0,2,acked,0,1787674171.2288456,1787674176.6774182,1787674213.4485888,1787674646.629884,5.448572635650635,42.21974325180054,475.4010384082794
1.0,1,0,acked,0,1787674646.9083552,1787674658.4756448,1787674671.6689622,1787675209.559047,11.567289590835571,24.76060700416565,562.6506917476654
1.0,1,1,acked,0,1787674649.8453488,1787674658.6370883,1787674680.5050352,1787675215.244002,8.791739463806152,30.65968632698059,565.3986532688141
1.0,1,2,acked,0,1787674654.9153152,1787674658.7934585,1787674695.8222966,1787675218.5974967,3.878143310546875,40.906981468200684,563.682181596756
1.0,2,0,acked,0,1787675218.8328197,1787675229.0410073,1787675240.413818,1787675797.6368356,10.208187580108643,21.580998182296753,578.8040158748627
1.0,2,1,acked,0,1787675223.8875859,1787675229.1971993,1787675253.2026978,1787675803.0983381,5.309613466262817,29.315111875534058,579.210752248764
1.0,3,0,acked,0,1787675803.2887228,1787675818.0339358,1787675833.4175937,1787676368.4197447,14.745213031768799,30.128870964050293,565.131021976471
1.0,3,1,acked,0,1787675808.1804285,1787675818.161804,1787675850.2266395,1787676371.6311147,9.981375455856323,42.0462110042572,563.4506862163544
1.0,3,2,acked,0,1787675813.0342963,1787675818.277559,1787675865.3288398,1787676375.3891125,5.243262767791748,52.294543504714966,562.354816198349
1.0,4,0,acked,0,1787676375.576382,1787676390.4894533,1787676403.4667017,1787676950.97659,14.913071393966675,27.89031982421875,575.4002079963684
1.0,4,1,acked,0,1787676380.5615013,1787676390.6125937,1787676414.5816896,1787676954.6209302,10.051092386245728,34.020188331604004,574.0594289302826
1.0,4,2,acked,0,1787676385.4163952,1787676390.7430997,1787676427.3474963,1787676957.7547503,5.326704502105713,41.93110108375549,572.3383550643921
