Batch_Size,Repeat,Signer_Key_Type,Signer_Key,Run_Label,Generation,Offset,Deliver_Gas_Total,Deliver_Gas_Per_Tx,Deliver_Tx_Bytes,Chunks,T_Deliver_s,Deliver_Per_Tx_s,Gen_Wait_Finality_s,Gen_Update_Client_Gas,Gen_Update_Client_s,Gen_Use_Slot
10,1,secp256k1,validator,d10-r1-validator,gen1788783419,0,1537575,153757.5,67302,1,4.48,0.44800000000000006,552.462,780365,4.778,3264
10,2,secp256k1,validator,d10-r2-validator,gen1788783419,10,1535469,153546.9,67101,1,4.475,0.44749999999999995,552.462,780365,4.778,3264
10,3,secp256k1,validator,d10-r3-validator,gen1788783419,20,1533486,153348.6,66909,1,4.467,0.4467,552.462,780365,4.778,3264
25,1,secp256k1,validator,d25-r1-validator,gen1788783419,30,3764325,150573.0,166899,1,4.52,0.1808,552.462,780365,4.778,3264
25,2,secp256k1,validator,d25-r2-validator,gen1788783419,55,3770403,150816.12,167498,1,4.519,0.18076,552.462,780365,4.778,3264
25,3,secp256k1,validator,d25-r3-validator,gen1788783419,80,3764198,150567.92,166900,1,4.505,0.1802,552.462,780365,4.778,3264
50,1,secp256k1,validator,d50-r1-validator,gen1788783419,105,7480033,149600.66,333347,1,4.732,0.09464,552.462,780365,4.778,3264
50,2,secp256k1,validator,d50-r2-validator,gen1788783419,155,7479997,149599.94,333347,1,2.55,0.051,552.462,780365,4.778,3264
50,3,secp256k1,validator,d50-r3-validator,gen1788783419,205,7487759,149755.18,334108,1,4.617,0.09234,552.462,780365,4.778,3264
