Batch_Size,Repeat,Signer_Key_Type,Signer_Key,Run_Label,Generation,Offset,Deliver_Gas_Total,Deliver_Gas_Per_Tx,Deliver_Tx_Bytes,Chunks,T_Deliver_s,Deliver_Per_Tx_s,Gen_Wait_Finality_s,Gen_Update_Client_Gas,Gen_Update_Client_s,Gen_Use_Slot
40,1,secp256k1,validator,sweep-d40-r1-validator,gen1789919909,0,5332915,133322.875,203001,1,4.623,0.11557500000000001,540.506,780312,17.272,4544
10,1,secp256k1,validator,sweep-d10-r1-validator,gen1789919909,40,1367399,136739.9,50834,1,4.528,0.4528,540.506,780312,17.272,4544
30,1,secp256k1,validator,sweep-d30-r1-validator,gen1789919909,50,4018696,133956.53333333333,152927,1,4.572,0.1524,540.506,780312,17.272,4544
50,1,secp256k1,validator,sweep-d50-r1-validator,gen1789919909,80,6653582,133071.64,253414,1,2.524,0.05048,540.506,780312,17.272,4544
60,1,secp256k1,validator,sweep-d60-r1-validator,gen1789919909,130,7980843,133014.05,304573,1,4.618,0.07696666666666667,540.506,780312,17.272,4544
